"ID","LAT","LON"
250,49.038,12.998
251,49.302,12.837
252,49.241,12.735
253,49.038,12.253
254,48.916,12.427
255,48.854,12.963
256,47.685,11.573
257,47.78,11.541
258,47.917,11.447
259,48.146,11.598
260,48.399,11.754
261,48.528,12.135
262,48.676,12.694
263,48.772,12.885
264,47.428,11.256
265,47.519,11.444
266,47.554,11.541
267,47.583,11.608
268,47.588,11.542
269,47.612,11.504
270,47.74,11.578
271,47.762,11.573
272,47.503,11.09
273,47.668,11.326
274,47.667,11.364
275,47.836,11.416
276,47.481,11.117
277,48.08,11.13
278,48.178,11.263
279,47.595,11.065
280,47.779,11.059
281,47.847,11.135
282,47.694,11.123
283,47.769,11.125
284,47.924,11.111
285,48.07,11.098
286,48.03,11.364
287,48.607,12.695
288,48.612,13.147
289,48.453,12.366
290,48.629,13.375
291,48.732,13.439
292,48.838,13.355
293,48.819,13.354
294,48.72,13.47
295,48.85,13.544
296,48.825,13.565
297,48.727,13.523
298,47.645,12.198
299,48.24,12.53
300,48.562,13.446
301,47.615,12.158
302,47.659,12.155
303,47.708,12.172
304,47.747,12.183
305,47.851,12.188
306,47.774,11.77
307,47.896,11.785
308,47.894,11.854
309,47.676,11.768
310,47.627,11.754
311,47.693,11.775
312,47.71,11.935
313,47.888,11.831
314,47.923,11.992
315,47.862,12.012
316,47.994,12.012
317,48.024,12.148
318,47.935,12.482
319,48.005,12.533
320,47.781,12.478
321,47.992,12.544
322,47.82,12.645
323,47.828,12.651
324,47.941,12.935
325,48.159,12.836
326,47.615,12.955
327,47.641,12.972
328,47.617,12.998
329,47.682,12.824
330,47.918,12.829
331,48.437,13.074
332,50.166,11.153
333,49.952,10.875
334,49.718,9.226
335,50.039,11.677
336,50.096,11.526
337,50.07,11.552
338,50.121,11.617
339,50.181,11.526
340,50.134,11.528
341,49.908,11.622
342,49.95,11.568
343,50.076,11.428
344,49.971,11.685
345,50.092,11.24
346,50.354,11.513
347,50.269,11.543
348,50.272,11.464
349,50.323,11.286
350,50.292,11.368
351,50.25,10.963
352,50.298,11.053
353,50.179,10.844
354,50.241,10.788
355,50.003,10.843
356,49.547,10.975
357,49.437,10.993
358,49.306,10.567
359,49.196,10.889
360,49.37,11.379
361,49.356,11.143
362,49.527,11.493
363,49.457,11.054
364,49.5,11.527
365,49.494,10.755
366,49.598,11.216
367,49.936,11.292
368,49.791,11.335
369,49.727,10.933
370,49.801,10.928
371,49.91,10.3
372,50.311,10.194
373,50.181,10.075
374,50.089,9.737
375,50.35,10.157
376,50.309,9.79
377,50.202,9.618
378,50.075,9.688
379,50.026,9.541
380,49.326,10.195
381,49.682,9.219
382,49.828,9.217
383,49.996,9.188
384,50.264,11.934
385,50.247,12.021
386,50.287,11.982
387,50.369,11.692
388,51.519,13.394
389,51.562,13.482
390,51.577,14.37
391,51.763,14.342
392,51.976,13.618
393,52.005,13.112
394,53.079,11.625
395,51.673,14.748
396,51.969,14.707
397,50.183,8.742
398,50.907,8.534
399,51.035,8.624
400,51.073,9.33
401,53.856,11.117
402,53.523,11.521
403,53.745,11.832
404,53.659,11.571
405,53.799,12.169
406,53.736,11.836
407,53.645,12.035
408,53.858,13.685
409,53.663,12.554
410,53.792,13.311
411,53.516,13.994
412,53.32,11.021
413,52.42,7.379
414,52.322,7.953
415,52.404,7.981
416,52.56,7.955
417,52.721,7.84
418,52.683,7.602
419,52.696,7.348
420,52.573,10.32
421,52.87,7.948
422,51.644,9.641
