Έτος,Δήμος,cleaned dimos,Org_ID,Περιφέρεια,Δασαρχείο,Κατάθεση αντιπυρκού σχεδίου στη ΓΓ. Πολ. Προστασίας,Χρηματοδότηηση ΥΠΕΣ,Συμπληρωματική χρηματοδότηση ΥΠΕΣ,#ανάθεση,#ανάληψη,#οριστικοποίηση,#έγκριση,Πρόταση χρηματοδότησης ΓΓ Πολ Προστασίας,Χρηματοδότηση ΕΣΠΑ,Χρηματοδότηση Αντώνης Τρίτσης,Άλλη πηγή χρηματοδότησης ονομαστικά,Δαπάνη για αντιπυρρική προστασία - Ισολογισμός,Αρ. Υπαλλήλων δήμου για πυροπροστασία,Αριθμός Πυρκαγιών,Καμμένες εκτάσεις,Τι ποσοστό του τακτικού προϋπολογισμού δίνεται σε πυροπροστασία
2022,ΔΗΜΟΣ ΑΡΤΑΙΩΝ,ΑΡΤΑΙΩΝ,12,ΑΡΤΗΣ,,,51000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,#N/A,ΗΡΑΚΛΕΙΟΥ,,,25000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ,100054492,ΑΤΤΙΚΗΣ,,,27000,70000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΣΤΥΠΑΛΑΙΑΣ,ΑΣΤΥΠΑΛΑΙΑΣ,5011,ΔΩΔΕΚΑΝΗΣΟΥ,,,16000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ,ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ,#N/A,ΑΤΤΙΚΗΣ,,,52600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΕΛΟΥ-ΒΟΧΑΣ,ΒΕΛΟΥ-ΒΟΧΑΣ,#N/A,ΚΟΡΙΝΘΙΑΣ,,,34000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,ΒΕΡΟΙΑΣ,5009,ΗΜΑΘΙΑΣ,,,68000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΙΑΝΝΟΥ,ΒΙΑΝΝΟΥ,100054492,ΗΡΑΚΛΕΙΟΥ,,,19700,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,ΒΙΣΑΛΤΙΑΣ,,ΣΕΡΡΩΝ,,,27600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΟΙΟΥ,ΒΟΙΟΥ,,#N/A,,,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΟΛΒΗΣ,ΒΟΛΒΗΣ,5009,ΘΕΣΣΑΛΟΝΙΚΗΣ,,,73000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΟΛΟΥ,ΒΟΛΟΥ,5007,ΜΑΓΝΗΣΙΑΣ,,,139000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,100054492,ΑΡΚΑΔΙΑΣ,,,32800,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,5006,ΙΩΑΝΝΙΝΩΝ,,,51000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ,ΒΡΙΛΗΣΣΙΩΝ,5002,ΑΤΤΙΚΗΣ,,,22600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΒΥΡΩΝΟΣ,ΒΥΡΩΝΟΣ,100054492,ΑΤΤΙΚΗΣ,,,27000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ,ΓΑΛΑΤΣΙΟΥ,5002,ΑΤΤΙΚΗΣ,,,28800,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΓΑΥΔΟΥ,ΓΑΥΔΟΥ,,ΧΑΝΙΩΝ,,,16700,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,,#N/A,,,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΓΟΡΤΥΝΑΣ,ΓΟΡΤΥΝΑΣ,5010,ΗΡΑΚΛΕΙΟΥ,,,48000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΓΟΡΤΥΝΙΑΣ,ΓΟΡΤΥΝΙΑΣ,,ΑΡΚΑΔΙΑΣ,,,108000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,5005,ΓΡΕΒΕΝΩΝ,,,120000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ,ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ,#N/A,ΑΤΤΙΚΗΣ,,,37600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΕΛΤΑ,ΔΕΛΤΑ,5009,ΘΕΣΣΑΛΟΝΙΚΗΣ,,,35500,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΕΛΦΩΝ,ΔΕΛΦΩΝ,5013,ΦΩΚΙΔΑΣ,,,128000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΝΕΣΤΟΡΙΟΥ,ΝΕΣΤΟΡΙΟΥ,,ΚΑΣΤΟΡΙΑΣ,,,31000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΕΣΚΑΤΗΣ,ΔΕΣΚΑΤΗΣ,5005,ΓΡΕΒΕΝΩΝ,,,25000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ,5001,ΕΒΡΟΥ,,,39000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ,ΔΙΟΝΥΣΟΥ,5002,ΑΤΤΙΚΗΣ,,,131700,140000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΔΙΟΥ-ΟΛΥΜΠΟΥ,#N/A,ΠΙΕΡΙΑΣ,,,79000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ,ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ,#N/A,ΕΥΒΟΙΑΣ,,,69000,120000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΙΣΤΟΜΟΥ-ΑΡΑΧΟΒΑΣ-ΑΝΤΙΚΥΡΑΣ,ΔΙΣΤΟΜΟΥ-ΑΡΑΧΟΒΑΣ-ΑΝΤΙΚΥΡΑΣ,#N/A,ΒΟΙΩΤΙΑΣ,,,37000,100000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,5013,ΦΘΙΩΤΙΔΑΣ,,,49000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΟΞΑΤΟΥ,ΔΟΞΑΤΟΥ,5001,ΔΡΑΜΑΣ,,,28600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,100054492,ΔΡΑΜΑΣ,,,48000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ,ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ,5004,#N/A,,,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,5012,ΜΕΣΣΗΝΙΑΣ,,,42600,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ,ΠΑΛΛΗΝΗΣ,,ΑΤΤΙΚΗΣ,,,48000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΩΔΩΝΗΣ,ΔΩΔΩΝΗΣ,5006,ΙΩΑΝΝΙΝΩΝ,,,41000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΔΩΡΙΔΟΣ,ΔΩΡΙΔΟΣ,100054492,ΦΩΚΙΔΑΣ,,,77400,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΣΥΜΗΣ,ΣΥΜΗΣ,,ΔΩΔΕΚΑΝΗΣΟΥ,,,17000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,ΕΔΕΣΣΑΣ,5009,ΠΕΛΛΑΣ,,,38000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ,5007,ΛΑΡΙΣΑΣ,,,91000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ,ΕΛΑΦΟΝΗΣΟΥ,5012,ΛΑΚΩΝΙΑΣ,,,12000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ,ΕΛΕΥΣΙΝΑΣ,5002,ΑΤΤΙΚΗΣ,,,36400,100000,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ,ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ,#N/A,ΑΤΤΙΚΗΣ,,,26000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,5009,ΣΕΡΡΩΝ,,,11400,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΕΟΡΔΑΙΑΣ,ΕΟΡΔΑΙΑΣ,100054492,ΚΟΖΑΝΗΣ,,,45000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
