Please read Terms and Conditions of Access and Use of EDO data at https://edo.jrc.ec.europa.eu/edov2/php/index.php?id=1044
"cell_id","latitude","longitude","cdi"
21343890,41.3542,24.7292,2
21343897,41.3958,24.0208,2
21343898,41.3958,24.0625,2
21343899,41.3958,24.1042,2
21343900,41.3958,24.1458,2
21343901,41.3958,24.1875,2
21343902,41.3958,24.2292,2
21343903,41.3958,24.2708,2
21343904,41.3958,24.3125,2
21343905,41.3958,24.3542,2
21343906,41.3958,24.3958,2
21343907,41.3958,24.4375,2
21343908,41.3958,24.4792,2
21343909,41.3958,24.5208,2
21343910,41.3958,24.5625,2
21343911,41.3958,24.6042,2
21343912,41.3958,24.6458,2
21343913,41.3958,24.6875,2
21343914,41.3958,24.7292,2
21343921,41.4375,24.0208,2
21343922,41.4375,24.0625,2
21343923,41.4375,24.1042,2
21343924,41.4375,24.1458,2
21343925,41.4375,24.1875,2
21343926,41.4375,24.2292,2
21343927,41.4375,24.2708,2
21343928,41.4375,24.3125,2
21343929,41.4375,24.3542,2
21343930,41.4375,24.3958,2
21343931,41.4375,24.4375,2
21343932,41.4375,24.4792,2
21343933,41.4375,24.5208,2
21343934,41.4375,24.5625,2
21343947,41.4792,24.1042,2
21343948,41.4792,24.1458,2
21343949,41.4792,24.1875,2
21343950,41.4792,24.2292,2
21343951,41.4792,24.2708,2
21343952,41.4792,24.3125,2
21343953,41.4792,24.3542,2
21343954,41.4792,24.3958,2
21343955,41.4792,24.4375,2
21343956,41.4792,24.4792,2
21343957,41.4792,24.5208,2
21343958,41.4792,24.5625,2
21447937,41.0208,25.0208,2
21447938,41.0208,25.0625,2
21447939,41.0208,25.1042,2
21447940,41.0208,25.1458,2
21447941,41.0208,25.1875,2
21447942,41.0208,25.2292,2
21447961,41.0625,25.0208,2
21447962,41.0625,25.0625,2
21447963,41.0625,25.1042,2
21447964,41.0625,25.1458,2
21447965,41.0625,25.1875,2
21447966,41.0625,25.2292,2
21447985,41.1042,25.0208,2
21447986,41.1042,25.0625,2
21447987,41.1042,25.1042,2
21447988,41.1042,25.1458,2
21447989,41.1042,25.1875,2
21447990,41.1042,25.2292,2
21448009,41.1458,25.0208,2
21448010,41.1458,25.0625,2
21448011,41.1458,25.1042,2
21448012,41.1458,25.1458,2
21448013,41.1458,25.1875,2
21448014,41.1458,25.2292,2
21448033,41.1875,25.0208,2
21448034,41.1875,25.0625,2
21448035,41.1875,25.1042,2
21448036,41.1875,25.1458,2
21448037,41.1875,25.1875,2
21448038,41.1875,25.2292,2
21448057,41.2292,25.0208,2
21448058,41.2292,25.0625,2
21448059,41.2292,25.1042,2
21448060,41.2292,25.1458,2
21448061,41.2292,25.1875,2
21448062,41.2292,25.2292,2
